iter	Passed	Remaining
260	10505	13645
261	10546	13605
262	10587	13567
263	10628	13527
264	10675	13495
265	10716	13455
266	10757	13416
267	10797	13376
268	10837	13335
269	10878	13295
270	10919	13255
271	10960	13217
272	11000	13176
273	11042	13137
274	11083	13098
275	11128	13064
276	11175	13031
277	11221	12997
278	11269	12966
279	11320	12938
280	11364	12901
281	11409	12865
282	11452	12827
283	11499	12794
284	11540	12755
285	11583	12717
286	11624	12677
287	11664	12636
288	11704	12595
289	11747	12557
290	11787	12517
291	11828	12476
292	11868	12435
293	11911	12398
294	11952	12357
295	11994	12318
296	12038	12281
297	12082	12245
298	12128	12209
299	12169	12169
300	12210	12129
301	12258	12096
302	12304	12060
303	12348	12024
304	12394	11987
305	12442	11954
306	12488	11919
307	12532	11881
308	12575	11843
309	12616	11802
310	12658	11763
311	12698	11721
312	12738	11680
313	12779	11639
314	12819	11598
315	12859	11557
316	12900	11516
317	12940	11475
318	12980	11434
319	13022	11394
320	13064	11354
321	13111	11319
322	13156	11282
323	13200	11244
324	13243	11206
325	13283	11165
326	13324	11123
327	13364	11082
328	13404	11041
329	13445	11000
330	13488	10962
331	13533	10924
332	13580	10888
333	13625	10851
334	13665	10810
335	13706	10769
336	13746	10727
337	13786	10686
338	13827	10646
339	13868	10605
340	13909	10564
341	13950	10523
342	13993	10484
343	14037	10446
344	14082	10408
345	14129	10372
346	14169	10331
347	14210	10290
348	14251	10249
349	14291	10208
350	14331	10167
351	14373	10126
352	14413	10085
353	14454	10044
354	14494	10003
355	14534	9962
356	14575	9920
357	14617	9881
358	14660	9841
359	14705	9803
360	14749	9765
361	14795	9727
362	14842	9690
363	14883	9649
364	14923	9608
365	14963	9567
366	15004	9526
367	15046	9485
368	15091	9447
369	15140	9411
370	15185	9373
371	15226	9332
372	15267	9291
373	15307	9250
374	15348	9209
375	15389	9167
376	15430	9127
377	15470	9085
378	15510	9044
379	15551	9003
380	15591	8961
381	15631	8920
382	15673	8880
383	15713	8839
384	15754	8797
385	15798	8758
386	15839	8718
387	15887	8681
388	15933	8642
389	15978	8603
390	16021	8563
391	16062	8522
392	16104	8482
393	16145	8441
394	16188	8401
395	16232	8362
396	16277	8323
397	16320	8283
398	16365	8244
399	16405	8202
400	16446	8161
401	16490	8122
402	16532	8081
403	16574	8040
404	16616	8000
405	16657	7959
406	16698	7918
407	16740	7877
408	16780	7836
409	16821	7795
410	16862	7754
411	16901	7712
412	16942	7671
413	16982	7630
414	17027	7590
415	17087	7558
416	17158	7530
417	17208	7492
418	17249	7451
419	17291	7410
420	17332	7369
421	17373	7328
422	17417	7288
423	17460	7247
424	17500	7206
425	17542	7165
426	17581	7123
427	17621	7081
428	17662	7040
429	17702	6998
430	17743	6957
431	17785	6916
432	17824	6874
433	17864	6833
434	17905	6791
435	17945	6750
436	17985	6708
437	18026	6667
438	18067	6626
439	18109	6585
440	18150	6543
441	18192	6503
442	18236	6463
443	18283	6423
444	18328	6384
445	18374	6344
446	18414	6303
447	18454	6261
448	18495	6220
449	18536	6178
450	18576	6137
451	18617	6095
452	18657	6054
453	18697	6012
454	18738	5971
455	18778	5930
456	18819	5888
457	18860	5847
458	18900	5805
459	18940	5764
460	18981	5723
461	19021	5681
462	19061	5640
463	19103	5599
464	19144	5558
465	19184	5516
466	19225	5475
467	19265	5433
468	19305	5392
469	19347	5351
470	19390	5310
471	19436	5270
472	19494	5234
473	19541	5194
474	19594	5156
475	19637	5115
476	19680	5074
477	19723	5033
478	19767	4993
479	19810	4952
480	19853	4911
481	19896	4871
482	19938	4829
483	19981	4788
484	20024	4748
485	20070	4707
486	20115	4667
487	20160	4626
488	20211	4587
489	20254	4546
490	20298	4506
491	20340	4465
492	20382	4423
493	20424	4382
494	20468	4341
495	20509	4300
496	20551	4259
497	20595	4218
498	20640	4177
499	20688	4137
500	20730	4096
501	20777	4056
502	20820	4015
503	20860	3973
504	20900	3931
505	20940	3890
506	20980	3848
507	21020	3806
508	21060	3765
509	21102	3724
510	21144	3682
511	21184	3641
512	21224	3599
513	21265	3558
514	21308	3516
515	21348	3475
516	21389	3433
517	21429	3392
518	21471	3351
519	21510	3309
520	21552	3268
521	21592	3226
522	21633	3185
523	21673	3143
524	21718	3102
525	21763	3061
526	21807	3020
527	21852	2979
528	21896	2938
529	21936	2897
530	21976	2855
531	22017	2814
532	22058	2772
533	22101	2731
534	22141	2690
535	22182	2648
536	22227	2607
537	22273	2566
538	22318	2525
539	22363	2484
540	22406	2443
541	22449	2402
542	22492	2361
543	22535	2319
544	22576	2278
545	22616	2236
546	22657	2195
547	22698	2153
548	22739	2112
549	22780	2070
550	22821	2029
551	22862	1988
552	22906	1946
553	22950	1905
554	22995	1864
555	23041	1823
556	23084	1782
557	23125	1740
558	23165	1699
559	23206	1657
560	23245	1616
561	23285	1574
562	23325	1532
563	23365	1491
564	23405	1449
565	23445	1408
566	23486	1366
567	23526	1325
568	23566	1283
569	23606	1242
570	23646	1200
571	23687	1159
572	23727	1118
573	23767	1076
574	23807	1035
575	23848	993
576	23888	952
577	23928	910
578	23969	869
579	24008	827
580	24050	786
581	24095	745
582	24139	703
583	24187	662
584	24230	621
585	24272	579
586	24312	538
587	24352	496
588	24392	455
589	24432	414
590	24473	372
591	24512	331
592	24552	289
593	24592	248
594	24632	206
595	24673	165
596	24713	124
597	24754	82
598	24795	41
599	24836	0
